Question,Answer
Do you have a banquet hall?,"Yes, we have a banquet hall for up to 100 guests."
Do you host birthday parties?,"Yes, we host birthday parties with special decorations."
Do you provide catering services?,"Yes, we offer catering for weddings and corporate events."
Do you allow outside decorations?,"Yes, outside decorations are allowed with prior approval."
Can we bring our own cake?,"Yes, you can bring your own cake for celebrations."
Do you have a banquet hall?,"Yes, we have a banquet hall for up to 100 guests."
Do you host birthday parties?,"Yes, we host birthday parties with special decorations."
Do you provide catering services?,"Yes, we offer catering for weddings and corporate events."
Do you allow outside decorations?,"Yes, outside decorations are allowed with prior approval."
Can we bring our own cake?,"Yes, you can bring your own cake for celebrations."
Do you have a banquet hall?,"Yes, we have a banquet hall for up to 100 guests."
Do you host birthday parties?,"Yes, we host birthday parties with special decorations."
Do you provide catering services?,"Yes, we offer catering for weddings and corporate events."
Do you allow outside decorations?,"Yes, outside decorations are allowed with prior approval."
Can we bring our own cake?,"Yes, you can bring your own cake for celebrations."
Do you have a banquet hall?,"Yes, we have a banquet hall for up to 100 guests."
Do you host birthday parties?,"Yes, we host birthday parties with special decorations."
Do you provide catering services?,"Yes, we offer catering for weddings and corporate events."
Do you allow outside decorations?,"Yes, outside decorations are allowed with prior approval."
Can we bring our own cake?,"Yes, you can bring your own cake for celebrations."
Do you have a banquet hall?,"Yes, we have a banquet hall for up to 100 guests."
Do you host birthday parties?,"Yes, we host birthday parties with special decorations."
Do you provide catering services?,"Yes, we offer catering for weddings and corporate events."
Do you allow outside decorations?,"Yes, outside decorations are allowed with prior approval."
Can we bring our own cake?,"Yes, you can bring your own cake for celebrations."
Do you have a banquet hall?,"Yes, we have a banquet hall for up to 100 guests."
Do you host birthday parties?,"Yes, we host birthday parties with special decorations."
Do you provide catering services?,"Yes, we offer catering for weddings and corporate events."
Do you allow outside decorations?,"Yes, outside decorations are allowed with prior approval."
Can we bring our own cake?,"Yes, you can bring your own cake for celebrations."
Do you have a banquet hall?,"Yes, we have a banquet hall for up to 100 guests."
